EX-NAV-1	C	COUVERTE	sondes D5 `router › les cinq routes nommées`, D8 `routing › les 6 routes + /mentions` ; `/marche` observé
EX-NAV-2	C	COUVERTE	idem ; `/marche/54-opel/1918-corsa` observé ; slug cosmétique canonisé (journal P3-D4)
EX-NAV-2bis	C	COUVERTE	`/marche/54-opel/1918-corsa/annonces` observé (journal P3-B, P5-E) ; sonde D5 `router`
EX-NAV-2ter	C	COUVERTE	`/comparer?m=54-1918,74-2084` observé ; sonde D8 `routing`
EX-NAV-3	C	COUVERTE	`/recherches` observé (journal P3-C3) ; sonde D5 `router`
EX-NAV-4	C	COUVERTE	`/suivis` observé (journal P3-C4) ; DR-053 (sixième route)
EX-NAV-5	C	COUVERTE	sonde D5 `registre vs filters-scope.json (EX-NAV-5)` ; aucun paramètre `make` (`grep "param: 'make'" src/state` = 0) ; `mmmv` seul (D-09)
EX-NAV-6	C	COUVERTE	`url-codec.test › joint les valeurs multiples par une seule virgule, triées (EX-NAV-6)` ; observé `fuel=Z,B`
EX-NAV-7	C	COUVERTE	`url-codec.test › deux paramètres jumeaux, bornes non posées omises` ; bornes inclusives et année entière : clic de barre `priceto=10999` (journal P3-A), `fregfrom=2017&fregto=2017` → 54 offres = vérité terrain (sonde D8)
EX-NAV-8	C	COUVERTE	sondes D5 `EX-NAV-8 — une valeur par défaut n'est jamais émise`, `tr-split`, `url-codec.test`, D7 `url-etat`
EX-NAV-9	C	COUVERTE	sondes D5 `EX-NAV-9 — l'ordre canonique ne dépend pas de l'ordre de pose`, `url-codec.test` ; observé `?body=3&kmto=100000&mmmv=74|2084&priceto=20000`
EX-NAV-10	C	COUVERTE	`url-codec.test › plafond de longueur (EX-NAV-10/11)` ; `filter-registry.test › equipment porte ses 136 valeurs`
EX-NAV-10bis	C	COUVERTE	sondes D5 `url-budget › EX-NAV-10bis`, D7 `url-etat`, `corrections.test` ; observé `page=2` en `replaceState`, `m=54-1918,74-2084`
EX-NAV-11	C	COUVERTE	sondes D5 `EX-NAV-11 — un état plus large que le plafond est refusé, avec son message`, patho `SOL-REFUS` ; bandeau `onUrlBudgetExceeded` câblé (`app.tsx`)
EX-NAV-12	C	COUVERTE	sondes D5 `interaction-history › EX-NAV-12/13/14`, `interaction.test` ; journal P1b-5 : retour arrière restaure l'écran B
