EX-SCR-1	B	COUVERTE	`format.test › formatInteger — EX-SCR-1 (U+202F)` ; sonde D6 `Format fr-BE des nombres (EX-SCR-1/3/4/5/6)` ; observé « 2 656 offres »
EX-SCR-2	B	COUVERTE	observé écran D « 14,5 l/100 km », G8 « -79,1 % » ; `R-D7-04` (virgule décimale) corrigée
EX-SCR-3	B	COUVERTE	`format.test › formatPrice — EX-SCR-3`, `roundHalfAwayFromZero`
EX-SCR-4	B	COUVERTE	`format.test › formatPriceRange — EX-SCR-4` ; observé « 4 850 – 18 850 € »
EX-SCR-5	B	COUVERTE	`format.test › roundMileageUnit`, `formatMileageRange (plancher/plafond de centaine)` ; observé « 0 – 90 800 km »
EX-SCR-6	B	PARTIELLE	`format.test › formatYearRange/formatModelYear/formatFirstRegistrationMonthYear` verts ; mais jeton du bandeau « Première immatriculation : 2 017 – 2 017 » et écran C « 2 008 – 2 026 » (journal P3-A, P3-C5)	années rendues avec séparateur de milliers hors écran A	écart non consigné (FV-14)
EX-SCR-7	B	COUVERTE	observé écran D « 385 kW » ; `format` puissance ; unité de l'axe suit `powertype` (non exposé, D-15)
EX-SCR-8	B	COUVERTE	observé écran D « 14,5 l/100 km », « 340 g/km » ; aucun filtre associé (registre)
EX-SCR-9	B	PARTIELLE	pays en libellé FR observé (« Belgique ») ; code postal tronqué `10xx` non affiché (aucune colonne postale dans le lot, D-14)	`NNxx` absent de l'écran D	décision D-14 (périmètre R3) — requalification du texte à faire
EX-SCR-10	B	COUVERTE	`format.test › formatOfferCount — EX-SCR-10` ; observé « 61 offres », « aucune offre » (state.test)
EX-SCR-11	B	COUVERTE	`format.test › formatPercent — EX-SCR-11` ; observé G13 « 64 % / 36 % »
EX-SCR-12	B	COUVERTE	sonde D7 `R-D7-08` (corrigée : effectif en infobulle) ; observé libellés « médiane », « P25 », « P75 », « min », « max »
EX-SCR-13	B	COUVERTE	`format.test › truncateGraphemes — EX-SCR-13` ; attribut `title` complet observé sur les zones (« title="T-Roc" »)
EX-SCR-14	B	COUVERTE	sondes D5 `EX-NFR-28 — libellés entièrement en français` ; libellés relevés repris (« SUV/4x4/Pick-Up » dans `BODY_TYPE_OPTS`)
EX-SCR-15	B	COUVERTE	`histogram-model.test › buildHistogram (axe à 0)` ; bascule log jamais active par défaut (`EX-SCR-16` test)
EX-SCR-16	B	COUVERTE	`histogram-model.test › bascule log conditionnelle (EX-SCR-16)` ; classe `kycar-log-toggle` ; `g<n>log` dans le codec (sonde D7 `url-etat`)
EX-SCR-17	B	PARTIELLE	axe des prix linéaire partout (observé) ; bascule log de G7 non retrouvée (`grep log src/screens/distribution/AdditionalGraphs.tsx` : G7 sans bascule)	bascule log de G7 absente	écart non consigné (mineur)
EX-SCR-18	B	COUVERTE	`scatter-model.test › bornes d'axe et projection (EX-SCR-18)` ; débordements en inégalité observés
EX-SCR-19	B	COUVERTE	sonde D7 `cas de bord de la géométrie (EX-SCR-19/150)` ; `histogram-model.test`
EX-SCR-20	B	COUVERTE	sonde D6 `responsive › EX-SCR-20/136/137 : 768/1280/1680` ; `breakpoints.test` ; régime détecté par la coquille (`detectRegime`)
EX-SCR-21	B	PARTIELLE	tokens de rythme dans `tokens.css` (sonde D1 `contrast-tokens`) ; cibles tactiles 44 px non mesurées	non mesuré au rendu	campagne 2.9
EX-SCR-22	B	NON COUVERTE	journal P5-A à 1 440 × 900 : 15 cartes visibles, **0 zone-modèle** (aucune zone rendue avant clic sur l'en-tête)	≥ 24 zones exigées, 0 observée	écart non consigné (FV-02)
EX-SCR-23	B	COUVERTE	sonde D6 `ET-CHARGE-INIT (EX-SCR-23/130)` ; `Exporter` désactivé au chargement (`partialCache`/`canSave`)
EX-SCR-24	B	PARTIELLE	`aria-busy="true"` sur l'écran A pendant le rechargement ; aucune atténuation à 45 % ni barre de progression 3 px (`grep` `MarketScreen.tsx`/`app.css`)	indicateurs normatifs absents	écart non consigné (FV-18)
EX-SCR-25	B	PARTIELLE	recalcul local mode 1 sans indicateur (agrégats provider, `loadMarket`) ; budget 150 ms non mesuré au rendu ; bascule vers `ET-CHARGE-MAJ` non observable	non mesuré	campagne 2.9
